VehicleNumber,Lines,Lat,Lon,Time
3134,18,52.1826,21.002216,2025-01-20 21:04:11
3135,9,52.227104,20.998863,2025-01-20 21:04:17
3136,1,52.269264,21.036911,2025-01-20 21:04:15
3139,33,52.206993,21.002703,2025-01-20 21:04:16
3140,3,52.298256,21.023487,2025-01-20 21:04:16
3141,9,52.18996,20.95794,2025-01-20 21:04:16
3148,26,52.231514,20.969461,2025-01-20 21:04:16
3151,1,52.290157,21.029331,2025-01-20 21:04:15
3152,1,52.25488,20.983217,2025-01-20 21:04:16
3154,24,52.241787,21.105705,2025-01-20 21:04:19
3155,10,52.23178,20.97209,2025-01-20 21:04:17
3156,26,52.263817,20.928026,2025-01-20 21:03:48
3159,3,52.306816,21.023096,2025-01-20 21:04:14
3160,9,52.223,20.98706,2025-01-20 21:03:48
3161,6,52.257034,21.055767,2025-01-20 21:04:20
3162,1,52.29953,20.93133,2025-01-20 21:02:46
3163,33,52.242256,20.993351,2025-01-20 21:04:19
3164,20,52.263466,20.899775,2025-01-20 21:04:14
3165,22,52.24203,20.977919,2025-01-20 21:04:16
3171,1,52.260227,21.007887,2025-01-20 21:04:15
3172,24,52.260143,20.924873,2025-01-20 21:04:15
3173,26,52.29187,20.929813,2025-01-20 21:04:16
3174,24,52.23852,21.053862,2025-01-20 21:04:10
3175,23,52.26022,21.042881,2025-01-20 21:04:15
3176,1,52.25619,21.0546,2025-01-20 21:04:19
3178,33,52.206715,21.002672,2025-01-20 21:04:16
3180,3,52.245583,21.080204,2025-01-20 21:04:17
3181,9,52.256626,21.053715,2025-01-20 21:04:05
3183,23,52.231842,20.972532,2025-01-20 21:04:13
3184,10,52.16812,21.015923,2025-01-20 21:03:45
3185,10,52.238712,20.900976,2025-01-20 21:04:18
3186,9,52.188576,21.000347,2025-01-20 21:04:16
3187,24,52.231586,20.96993,2025-01-20 21:04:16
3189,1,52.2333,20.982153,2025-01-20 21:04:16
3190,1,52.30427,21.025776,2025-01-20 21:04:08
3191,10,52.232193,20.973059,2025-01-20 21:04:17
3194,10,52.168163,21.016373,2025-01-20 21:04:07
3195,20,52.262444,21.02151,2025-01-20 21:04:15
3196,1,52.219055,20.984629,2025-01-20 21:04:18
3198,1,52.298527,21.021896,2025-01-20 21:04:14
3199,1,52.263515,21.020023,2025-01-20 21:04:17
3200,26,52.24431,21.000862,2025-01-20 21:04:19
3202,33,52.2417,20.994127,2025-01-20 21:04:18
3203,1,52.254826,21.034761,2025-01-20 21:04:16
3206,9,52.237926,21.050377,2025-01-20 21:04:16
3209,24,52.23478,20.981165,2025-01-20 21:03:44
3210,20,52.25302,21.050861,2025-01-20 21:03:43
3212,1,52.304176,21.025087,2025-01-20 21:04:16
3213,1,52.209797,20.981575,2025-01-20 21:04:17
3214,26,52.228756,20.915411,2025-01-20 21:04:18
3215,3,52.24831,21.046156,2025-01-20 21:03:46
3216,9,52.20206,20.96862,2025-01-20 21:04:13
3217,17,52.299812,20.928432,2025-01-20 21:04:15
3220,22,52.23054,21.014898,2025-01-20 21:04:18
3222,33,52.186592,21.000587,2025-01-20 21:04:13
3223,10,52.2262,21.002901,2025-01-20 21:04:19
3224,7,52.226494,20.995794,2025-01-20 21:04:14
3226,22,52.271374,20.943953,2025-01-20 21:04:17
3229,9,52.175842,20.943739,2025-01-20 21:04:16
3231,9,52.24504,21.090485,2025-01-20 21:04:17
3233,26,52.284874,20.92295,2025-01-20 21:04:18
3236,17,52.306213,21.02408,2025-01-20 21:04:17
3237,7,52.193806,20.961308,2025-01-20 21:04:18
3242,15,52.176422,20.944622,2025-01-20 21:03:46
3243,10,52.221928,20.922598,2025-01-20 21:04:18
3245,17,52.181915,20.988846,2025-01-20 21:04:09
3246,17,52.22723,21.002333,2025-01-20 21:04:17
3247,18,52.23143,21.01082,2025-01-20 21:04:16
3248,15,52.213554,20.97841,2025-01-20 21:04:16
3249,9,52.2053,20.999386,2025-01-20 21:04:17
3250,9,52.18606,20.99858,2025-01-20 21:04:16
3251,17,52.251293,20.985432,2025-01-20 21:04:15
3252,9,52.18636,21.00063,2025-01-20 21:04:20
3253,26,52.23616,20.977617,2025-01-20 21:04:15
3257,24,52.23823,21.118752,2025-01-20 21:04:14
3259,3,52.298477,21.021854,2025-01-20 21:04:17
